"date_col","air_pressure","air_temperature","relative_humidity","wind_speed","wind_direction","Measured_Upscaled"
2019-02-05,49153.6833333333,226.416666666667,4382.35,274.253333333333,8894.43333333333,2469.032
2019-02-06,48841.71,284.106666666667,4605.27,342.82,8625.46666666666,5958.079
2019-02-07,48330.8333333333,384.623333333333,3853.47666666667,463.723333333333,10198.0333333333,11319.963
2019-02-08,48140.4866666667,389.633333333333,4089.64333333333,543.19,9027.26666666667,12143.555
2019-02-09,48055.0166666666,401.613333333333,3635.18333333333,516.826666666667,10294.3666666667,13011.101
2019-02-10,47739.9633333333,328.293333333333,4224.93,390.753333333333,11646.4333333333,10914.607
2019-02-11,48987.1266666667,277.833333333333,3981.81,231.346666666667,14320.6,4742.865
2019-02-12,49567.0766666667,267.726666666667,4108.68333333333,210.103333333333,10185.9666666667,2407.397
2019-02-13,49612.1666666667,289.503333333333,3830.09,260.966666666667,8989.73333333334,2390.343
2019-02-14,49551.8566666667,320.096666666667,3485.89,158.53,7520.43333333333,1721.39
2019-02-15,49313.9266666667,395.1,3133.50666666667,205.29,7780.76666666666,2442.238
2019-02-16,49116.1766666667,397.38,3553.97333333333,196.81,8716.8,2876.738
2019-02-17,48847.9433333334,435.82,3247.24666666667,252.61,8109.96666666667,3569.606
2019-02-18,48736.78,399.28,3742.36,182.173333333333,9855.3,2612.098
2019-02-19,48864.1933333334,347.113333333333,4157.76333333333,291.236666666667,10663,3974.658
2019-02-20,48996.38,356.736666666667,3718.52,250.383333333333,9787.5,2837.833
2019-02-21,49251.3166666667,368.81,4230.59,270.13,10794.9666666667,3053.135
2019-02-22,49654.4866666667,337.26,4741.80666666667,152.936666666667,7525.6,920.488
2019-02-23,49647.55,426.66,3917.24333333333,193.343333333333,5257.03333333334,2286.131
2019-02-24,49686.5266666667,373.333333333333,3416.9,111.406666666667,5179.06666666667,1467.785
2019-02-25,49697.88,417.766666666667,3233.80333333333,147.326666666667,4725.26666666667,1726.691
2019-02-26,49533.13,475.576666666667,3200.85666666667,111.92,4537.76666666666,993.389
2019-02-27,49144.1833333333,480.103333333334,3313.45666666667,175.7,9757.1,1766.774
2019-02-28,48713.4966666667,415.773333333333,4081.35666666667,328.716666666667,10871.3333333333,4602.737
2019-03-01,48766.2233333334,340.6,4432.39666666667,226.216666666667,13469.3333333333,3137.617
2019-03-02,48541.0733333334,415.636666666667,4164.16333333333,310.646666666667,9174.26666666667,4060.94
2019-03-03,48037.9866666667,536.213333333333,4043.53666666667,523.253333333333,9590.4,12185.324
2019-03-04,47661.3466666667,409.486666666667,3619.7,532.056666666667,11271.3,12065.128
2019-03-05,48157.71,378.89,3752.17333333333,383.373333333333,10049,6677.642
2019-03-06,47707.2166666667,471.846666666667,3861.89666666667,453.946666666666,8237.46666666667,8502.233
2019-03-07,47604.9466666667,442.32,3729.55,521.056666666666,10772.7,11084.203
2019-03-08,48439.9866666667,395.496666666667,3618.22,326.176666666667,11921.3,5965.796
